id,country,protected
36,AUS,19.4
554,NZL,32.5
76,BRA,29.8
840,USA,12.4
124,CAN,13.2
826,GBR,28.1
276,DEU,38.4
250,FRA,26.4
156,CHN,18.0
356,IND,5.9
643,RUS,11.9
392,JPN,20.6
710,ZAF,13.5
566,NGA,13.9
818,EGY,6.8
32,ARG,7.8
484,MEX,13.0
360,IDN,14.6
764,THA,21.7
458,MYS,23.3
608,PHL,14.9
704,VNM,7.5
410,KOR,12.2
792,TUR,3.1
364,IRN,8.8
586,PAK,12.2
50,BGD,4.7
804,UKR,7.5
616,POL,39.9
724,ESP,30.3
380,ITA,21.5
752,SWE,14.5
578,NOR,17.2
246,FIN,12.8
208,DNK,19.2
528,NLD,22.0
56,BEL,10.8
756,CHE,26.0
40,AUT,28.8
203,CZE,23.9
348,HUN,22.3
642,ROU,24.1
100,BGR,40.3
300,GRC,27.9
620,PRT,22.5
191,HRV,38.5
705,SVN,40.3
703,SVK,38.6
233,EST,22.5
428,LVA,20.9
440,LTU,17.9
152,CHL,20.9
170,COL,24.6
604,PER,17.5
862,VEN,56.0
218,ECU,19.5
68,BOL,22.5
600,PRY,6.0
858,URY,1.0
188,CRI,26.8
320,GTM,32.0
340,HND,21.7
558,NIC,36.9
591,PAN,38.0
192,CUB,6.5
214,DOM,26.2
231,ETH,18.3
404,KEN,12.4
834,TZA,38.9
800,UGA,10.4
508,MOZ,17.2
894,ZMB,37.9
716,ZWE,27.3
72,BWA,38.0
516,NAM,43.7
288,GHA,14.9
120,CMR,8.9
384,CIV,22.1
686,SEN,24.5
466,MLI,3.4
562,NER,16.8
148,TCD,16.5
729,SDN,4.7
12,DZA,7.0
504,MAR,1.6
788,TUN,1.0
434,LBY,0.2
24,AGO,12.8
180,COD,9.4
178,COG,14.2
266,GAB,18.6
598,PNG,0.3
242,FJI,0.7
398,KAZ,2.8
860,UZB,2.4
795,TKM,3.5
417,KGZ,6.8
762,TJK,4.3
496,MNG,17.4
104,MMR,5.0
116,KHM,25.2
418,LAO,17.0
524,NPL,23.0
144,LKA,22.3
462,MDV,0.3
64,BTN,47.7
352,ISL,14.5
368,IRQ,0.1
682,SAU,0.3
784,ARE,15.0
414,KWT,0.0
634,QAT,0.0
512,OMN,4.5
887,YEM,0.6
400,JOR,8.9
422,LBN,0.5
760,SYR,0.6
376,ISR,19.8
196,CYP,28.0
268,GEO,3.9
51,ARM,13.2
31,AZE,8.3
